date,tic,open,high,low,close,volume,day,macd,boll_ub,boll_lb,rsi_30,cci_30,dx_30,close_30_sma,close_60_sma,EFFR,DTB3,T10YIE,DGS10,GC=F,CL=F
2008-01-02,LULU,23.69499969482422,24.165000915527344,22.26499938964844,22.40999984741211,708200.0,2.0,0.0,13.074436356107574,11.47455007882895,0.0,-66.66666666666667,100.0,22.40999984741211,22.40999984741211,4.11,3.18,2.32,3.91,857.0,99.62000274658205
2008-01-03,LULU,22.40999984741211,22.63999938964844,21.780000686645508,22.3799991607666,709400.0,3.0,-0.0006730923285829,22.43742688202394,22.35257212615477,0.0,-66.66666666666667,100.0,22.394999504089355,22.394999504089355,4.25,3.16,2.33,3.91,866.4000244140625,99.18000030517578
2008-01-04,LULU,21.8700008392334,21.915000915527344,20.165000915527344,20.270000457763672,1559000.0,4.0,-0.0662885867512308,24.14058742673395,19.23274555056097,0.0,-99.9999999999997,100.0,21.68666648864746,21.68666648864746,4.18,3.12,2.32,3.88,863.0999755859375,97.91000366210938
2008-01-07,LULU,20.73500061035156,20.73500061035156,18.88500022888184,19.225000381469727,1583200.0,0.0,-0.1322365646889061,24.245251432680316,17.897248491025742,0.0,-99.01928757614316,100.0,21.071249961853027,21.071249961853027,4.27,3.19,2.29,3.86,859.5999755859375,95.08999633789062
2008-01-08,LULU,19.354999542236328,19.86000061035156,18.420000076293945,18.46500015258789,1163800.0,1.0,-0.1955299551160614,24.15412880697208,16.945871193027923,0.0,-97.48891621194606,100.0,20.55,20.55,4.27,3.17,2.29,3.86,878.0,96.33000183105467
2008-01-09,LULU,18.4950008392334,18.4950008392334,16.854999542236328,17.0,2324200.0,2.0,-0.2925468175580938,24.293476033690894,15.62319063297577,0.0,-114.98614120236635,100.0,19.95833333333333,19.95833333333333,4.26,3.14,2.26,3.82,879.5,95.66999816894533
2008-01-10,LULU,17.0,17.850000381469727,16.875,17.360000610351562,2726000.0,3.0,-0.3334170251741959,24.0051881075055,15.169097781166377,6.794983216230875,-94.51163193935513,100.0,19.587142944335938,19.587142944335938,4.26,3.16,2.23,3.91,891.7000122070312,93.70999908447266
2008-01-11,LULU,17.2549991607666,17.375,16.469999313354492,16.53499984741211,1570800.0,4.0,-0.3946977297216278,23.83039160850535,14.580858505935565,5.852255946473733,-96.23413772678592,100.0,19.20562505722046,19.20562505722046,4.23,3.02,2.26,3.82,896.0999755859375,92.69000244140624
2008-01-14,LULU,16.790000915527344,17.475000381469727,16.30500030517578,17.239999771118164,1535600.0,0.0,-0.3961503585289883,23.50741027331245,14.467034221994624,16.137686943172525,-77.2722397594128,100.0,18.987222247653538,18.987222247653538,4.24,3.11,2.28,3.81,901.5999755859376,94.1999969482422
2008-01-15,LULU,16.545000076293945,17.0,15.5,16.010000228881836,1986600.0,1.0,-0.4547737459666123,23.348620870270267,14.030379221282466,13.4798068579898,-93.06702636566752,100.0,18.689500045776366,18.689500045776366,4.24,3.09,2.27,3.72,901.0,91.9000015258789
